Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,US,CVK,Covington,Covington,KY,RQ,--3-----,9307,,,
,US,CWT,Covington,Covington,LA,RL,-23-----,0101,,3028N 09006W,
,US,OVI,Covington,Covington,OH,RL,-23--6--,0401,,4007N 08421W,
,US,OVT,Covington,Covington,IN,RL,--3-----,1301,,4008N 08723W,
,US,VGB,Covington,Covington,WA,RL,--3-----,0901,,4720N 12206W,
,US,VNG,Covington,Covington,PA,RL,--3-----,0701,,4144N 07704W,
,US,IWP,Covington Township,Covington Township,PA,RL,--3-----,1301,,4118N 07528W,
,US,ZWN,Cowan,Cowan,TN,RL,--3-----,0901,,3509N 08600W,
,US,PA6,Cowansville,Cowansville,PA,RL,--3-----,1501,,4053N 07935W,
,US,ZJH,Coward,Coward,SC,RL,-----6--,0901,,3358N 07944W,
,US,YHE,Cowiche,Cowiche,WA,RL,123--6--,0307,,4640N 12042W,
,US,C7W,Cowlesville,Cowlesville,NY,RL,--3-----,1301,,4250N 07828W,
,US,CPQ,Cowpens,Cowpens,SC,RQ,--3-----,9307,,,
,US,C2C,Coxs Creek,Coxs Creek,KY,RL,--3-----,1301,,3753N 08528W,
,US,C9Y,Coyanosa,Coyanosa,TX,RL,------7-,1301,,3114N 10303W,
,US,3CY,Coyote,Coyote,NM,RL,--3-----,1307,,3348N 10549W,
,US,QCZ,Cozad,Cozad,NE,RL,1-3--6--,0307,,4051N 09959W,
,US,CO2,Crab Orchard,Crab Orchard,TN,RL,--3--6--,0607,,3554N 08453W,
,US,CO5,Crab Orchard,Crab Orchard,WV,RQ,--3-----,1007,,3744N 08113W,
,US,C3T,Crabtree,Crabtree,NC,RL,--3-----,1407,,3536N 08256W,
,US,ZRA,Crabtree,Crabtree,PA,RL,--3-----,0901,,4021N 07928W,
,US,CFQ,Crafton,Crafton,PA,RL,-23--6--,0607,,4026N 08004W,
,US,7CF,Craftsbury,Craftsbury,VT,RL,--3-----,1807,,4438N 07222W,
,US,C6R,Cragford,Cragford,AL,AA,--3-----,1601,,3315N 08540W,
,US,A7T,Craig,Craig,MO,RL,--3-----,1601,,4011N 09522W,
,US,CGA,Craig,Craig,AK,AI,---4----,0001,,,
,US,CIG,Craig,Craig,CO,AI,---4----,0001,,,
,US,R9M,Craigmont,Craigmont,ID,RL,--3-----,1607,,4614N 11627W,
,US,GZG,Craigsville,Craigsville,WV,RL,--3--6--,0901,,3820N 08039W,
,US,ZRC,Cramerton,Cramerton,NC,RL,1-3--6--,0307,,3514N 08104W,
,US,C9I,Cranberry Isles,Cranberry Isles,ME,RL,--3-----,1807,,4414N 06815W,
,US,CPD,Cranberry Lake,Cranberry Lake,NY,RQ,--3-----,9307,,,
,US,RYT,Cranberry Township,Cranberry Township,PA,RL,--3-----,0601,,4042N 08006W,
,US,CQE,Cranbury,Cranbury,NJ,RL,--3-----,0401,,4018N 07430W,
,US,KR7,Crandall,Crandall,GA,AM,--3-----,2007,,3452N 08444W,
,US,KRA,Crandall,Crandall,TX,RL,--3-----,0901,,3237N 09627W,
,US,RWZ,Crandon,Crandon,WI,RL,-----6--,0901,,4534N 08854W,
,US,UFD,Crandon Lakes,Crandon Lakes,NJ,RQ,--3-----,9008,,,
,US,CCG,Crane,Crane,TX,AI,---4----,0001,,3123N 10221W,
,US,ZCR,Crane,Crane,IN,RL,--3-----,0201,,3853N 08654W,
,US,ZVQ,Crane,Crane,MO,RL,--3-----,1207,,3654N 09334W,
,US,CKR,Crane Island,Crane Island,WA,AI,---4----,0001,,,
,US,C8L,Crane Lake,Crane Lake,MN,RL,--3-----,1207,,4816N 09229W,
,US,CQG,Cranford,Cranford,NJ,RQ,--3-----,9307,,,
,US,CQH,Cranston,Cranston,RI,RQ,--3-----,9307,,,
,US,4CR,Craryville,Craryville,NY,RL,--3-----,1401,,4210N 07335W,
,US,C4W,Crawford,Crawford,TX,RL,--3-----,2001,,3153N 09743W,
,US,CW8,Crawford,Crawford,NE,RL,--3-----,1101,,4240N 10324W,
,US,W7D,Crawford,Crawford,CO,RL,--3-----,1607,,3842N 10736W,
,US,CF6,Crawfordsville,Crawfordsville,AR,RL,--3-----,0901,,3513N 09019W,
,US,CFB,Crawfordsville,Crawfordsville,IN,RQ,--3-----,9307,,,
,US,FDI,Crawfordville,Crawfordville,GA,RQ,--3--6--,0607,,3333N 08253W,
,US,RFV,Crawfordville,Crawfordville,FL,RL,--3-----,0701,,3010N 08422W,
,US,EFP,Creal Springs,Creal Springs,IL,RL,--3-----,1401,,3737N 08850W,
,US,CR3,Cream Ridge,Cream Ridge,NJ,RL,-23-----,0607,,4008N 07432W,
,US,EMV,Creedmoor,Creedmoor,TX,RL,--3-----,1301,,3005N 09744W,
,US,ZCE,Creedmoor,Creedmoor,NC,RL,123-----,0307,,3607N 07841W,
,US,QAP,Creekside,Creekside,PA,RL,123--6--,0307,,4040N 07911W,
,US,CQK,Creighton,Creighton,PA,RQ,--3-----,9307,,,
,US,IGQ,Creighton,Creighton,NE,RL,--3-----,0901,,4228N 09754W,
,US,RHA,Crenshaw,Crenshaw,MS,RL,-23-----,0407,,3430N 09011W,
,US,EOZ,Creola,Creola,AL,RL,--3-----,1301,,3053N 08802W,
,US,CQN,Crescent,Crescent,IA,RQ,--3-----,9307,,,
,US,ECJ,Crescent,Crescent,GA,RL,--3-----,0901,,3130N 08122W,
,US,CEC,Crescent City,Crescent City,CA,AI,1-34----,1307,,,
,US,TCJ,Crescent City,Crescent City,FL,RQ,--3-----,0901,,2926N 08130W,
,US,3CL,Crescent Lake,Crescent Lake,OR,RL,--3-----,1207,,4328N 12159W,
,US,WJC,Crescent Township,Crescent Township,PA,RQ,-----6--,1007,,4030N 08013W,
,US,CFK,Cresco,Cresco,IA,RQ,--3-----,9307,,,
,US,CTG,Cresco,Cresco,PA,RQ,--3-----,9307,,,
,US,CYJ,Cresskill,Cresskill,NJ,RQ,--3-----,9307,,,
,US,CR8,Cresson,Cresson,PA,RQ,--3--6--,1001,,4027N 07835W,
,US,ZJQ,Cresson,Cresson,TX,RL,-----6--,0901,,3231N 09737W,
,US,CJA,Cressona,Cressona,PA,RQ,--3-----,9307,,,
,US,CH5,Crest Hill,Crest Hill,IL,RL,-23-----,0607,,4133N 08806W,
,US,CSE,Crested Butte,Crested Butte,CO,AI,---4----,0001,,,
,US,C7R,Crestline,Crestline,OH,RL,--3--6--,1107,,4047N 08244W,
,US,GKM,Crestline,Crestline,CA,RL,--3-----,1407,,3414N 11717W,
,US,RZN,Crestline,Crestline,KS,RL,--3-----,0901,,3710N 09442W,
,US,C8T,Creston,Creston,CA,RL,1----6--,1107,,3531N 12031W,
,US,CSQ,Creston,Creston,IA,AI,--34----,9601,,,
,US,OHR,Creston,Creston,OH,RL,-23-----,0401,,4059N 08153W,
,US,C3E,Crestone,Crestone,CO,RL,--3-----,1307,,3759N 10541W,
,US,CEW,Crestview,Crestview,FL,AI,---4----,9601,,,
